name,release_date,total_tracks,artists,id,name,duration_ms,explicit,id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,time_signature
TROLLS (Original Motion Picture Soundtrack),2016-09-23,13,,31TPClRtHm23RisEBtV3X7,Justin Timberlake,237547,false,1WkMMavIMc4JZ8cfMmxHkI,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",77,0.669,0.832,0,-5.721,1,0.0682,0.0106,0,0.0968,0.7,113.035,audio_features,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,https://api.spotify.com/v1/tracks/1WkMMavIMc4JZ8cfMmxHkI,https://api.spotify.com/v1/audio-analysis/1WkMMavIMc4JZ8cfMmxHkI,4
iSouljaBoyTellem,2008-01-01,16,,6GMYJwaziB4ekv1Y6wCDWS,Soulja Boy,193387,true,2q4rjDy9WhaN3o9MvDbO21,Kiss Me Thru The Phone,81,0.758,0.712,7,-3.781,1,0.112,0.0185,0,0.0677,0.795,149.998,audio_features,spotify:track:2q4rjDy9WhaN3o9MvDbO21,https://api.spotify.com/v1/tracks/2q4rjDy9WhaN3o9MvDbO21,https://api.spotify.com/v1/audio-analysis/2q4rjDy9WhaN3o9MvDbO21,4
,,,,4p07QU02SrLsaORo25h2Lg,Sammie,,,,,,,,,,,,,,,,,,,,,
Uptown Special,2015-01-12,11,,3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,269667,true,32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),86,0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,audio_features,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,4
,,,,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,,,,,,,,,,,,,,,,,,,,,
1989,2014-10-27,13,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,231827,false,1p80LdxRV74UKvL8gnD7ky,Blank Space,79,0.753,0.678,5,-5.421,1,0.0644,0.085,0.00000164,0.13,0.583,96.006,audio_features,spotify:track:1p80LdxRV74UKvL8gnD7ky,https://api.spotify.com/v1/tracks/1p80LdxRV74UKvL8gnD7ky,https://api.spotify.com/v1/audio-analysis/1p80LdxRV74UKvL8gnD7ky,4
Hands All Over,2010,13,,04gDigrS5kc9YWfZHwBETP,Maroon 5,201160,false,7LcfRTgAVTs5pQGEQgUEzN,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",74,0.722,0.758,11,-4.477,0,0.0471,0.0111,0,0.308,0.62,128.047,audio_features,spotify:track:7LcfRTgAVTs5pQGEQgUEzN,https://api.spotify.com/v1/tracks/7LcfRTgAVTs5pQGEQgUEzN,https://api.spotify.com/v1/audio-analysis/7LcfRTgAVTs5pQGEQgUEzN,4
,,,,1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,,,,,,,,,,,,,,,,,,,,,
PRISM (Deluxe),2013-10-18,16,,6jJ0s89eD6GaHleKKya26X,Katy Perry,223546,false,6F5c58TMEs1byxUstkzVeM,Roar,78,0.554,0.772,7,-4.821,0,0.0418,0.00487,0.0000066,0.354,0.455,179.984,audio_features,spotify:track:6F5c58TMEs1byxUstkzVeM,https://api.spotify.com/v1/tracks/6F5c58TMEs1byxUstkzVeM,https://api.spotify.com/v1/audio-analysis/6F5c58TMEs1byxUstkzVeM,4
"Was nicht passt, wird passend gemacht (Music Inspired By the Film)",2002,31,,0dCKce6tJJdHvlWnDMwzPW,Village People,284867,false,7Cp69rNBwU0gaFT8zxExlE,Ymca,54,0.715,0.951,6,-6.488,1,0.132,0.152,0,0.302,0.671,126.643,audio_features,spotify:track:7Cp69rNBwU0gaFT8zxExlE,https://api.spotify.com/v1/tracks/7Cp69rNBwU0gaFT8zxExlE,https://api.spotify.com/v1/audio-analysis/7Cp69rNBwU0gaFT8zxExlE,4
